DATE,COLLISIONS,AWND,TMAX,TMIN,PRCP
1/1/2016,393,3.4,5.6,1.1,0
1/2/2016,422,3,4.4,0,0
1/3/2016,432,3.5,7.2,1.7,0
1/4/2016,601,3.8,2.2,-9.9,0
1/5/2016,640,2.3,-1.6,-11.6,0
1/6/2016,625,1.6,5,-3.8,0
1/7/2016,542,1.1,7.8,-0.5,0
1/8/2016,602,1.9,7.8,-0.5,0
1/9/2016,554,3.6,8.3,4.4,0
1/10/2016,462,4.4,15,4.4,45.7
1/11/2016,680,4.7,4.4,-3.2,0
1/12/2016,637,2.7,6.7,-3.8,0
1/13/2016,605,4.4,-1,-5.5,0
1/14/2016,597,2.2,3.3,-5.5,0
1/15/2016,722,2.3,10.6,1.1,0
1/16/2016,563,3,11.1,5.6,6.1
1/17/2016,451,2.5,5.6,-1,1.3
1/18/2016,481,5.3,-0.5,-7.7,0
1/19/2016,662,4.9,-2.1,-8.8,0
1/20/2016,623,2.5,2.8,-2.7,0
1/21/2016,666,2.7,2.2,-3.2,0
1/22/2016,701,2.9,-1,-6,0.3
1/23/2016,402,7,-2.7,-4.3,58.7
1/24/2016,517,2.6,1.7,-6.6,0
1/25/2016,658,1.5,3.9,-2.1,0
1/26/2016,734,2.9,8.9,3.3,0
1/27/2016,670,3,8.3,1.1,0
1/28/2016,681,2,5.6,0,0
1/29/2016,645,3.5,5,-1,0
1/30/2016,596,3.1,3.9,-2.1,0
1/31/2016,532,2.3,13.3,2.2,0
2/1/2016,716,2.6,15,6.7,0.3
2/2/2016,711,1.6,10,3.3,0
2/3/2016,579,2.9,15,5.6,18.5
2/4/2016,609,2.6,15,6.7,0
2/5/2016,607,3.7,6.7,-0.5,13.5
2/6/2016,553,2.5,4.4,-1,0
2/7/2016,423,2.4,8.3,0.6,0
2/8/2016,501,4.7,3.9,-2.1,1.3
2/9/2016,571,1.8,2.2,-2.7,0
2/10/2016,537,2.6,3.9,-0.5,0.3
2/11/2016,622,4.5,-0.5,-7.7,0
2/12/2016,628,3,-2.7,-9.3,0
2/13/2016,480,5.5,-5.5,-14.3,0
2/14/2016,309,2.8,-9.3,-18.2,0
2/15/2016,291,2.4,1.7,-10.5,11.2
2/16/2016,615,3.5,12.2,1.7,25.7
2/17/2016,525,3.3,3.9,1.7,0
2/18/2016,592,3.2,2.2,-2.7,0
2/19/2016,532,2.4,3.9,-4.3,0
2/20/2016,555,3.3,16.1,3.9,0
2/21/2016,481,2.2,12.8,6.7,0.8
2/22/2016,615,2.3,11.1,3.3,0
2/23/2016,623,6.5,4.4,1.7,7.6
2/24/2016,660,4.7,15.6,2.2,31
2/25/2016,663,4,16.1,2.8,0.5
2/26/2016,476,3.9,3.9,-2.7,0
2/27/2016,388,2.7,5,-3.2,0
2/28/2016,509,3.3,15.6,3.3,0
2/29/2016,616,3.8,16.1,8.3,1.3
3/1/2016,662,3.4,11.1,3.9,0
3/2/2016,653,4.7,12.8,-1.6,3.6
3/3/2016,625,2.6,2.2,-3.2,0
3/4/2016,685,3.9,3.9,-1,2.8
3/5/2016,601,1.9,5,-2.1,0
3/6/2016,500,1.5,6.7,0,0
3/7/2016,571,3.5,15.6,2.2,0
3/8/2016,632,1.5,19.4,8.3,0
3/9/2016,660,1,25,6.7,0
3/10/2016,629,2.2,26.1,17.2,0
3/11/2016,672,2.7,20,8.9,1.5
3/12/2016,625,2.3,15,4.4,0
3/13/2016,435,1.6,16.7,10,0
3/14/2016,640,6.3,10.6,4.4,7.4
3/15/2016,607,2.4,13.9,6.7,0
3/16/2016,627,1.6,18.3,8.9,0.5
3/17/2016,611,2.2,17.2,7.2,0
3/18/2016,643,3.9,13.9,5.6,0
3/19/2016,540,2.3,7.8,2.2,0
3/20/2016,479,4.3,6.1,0,1.8
3/21/2016,617,3.6,10,0,1.5
3/22/2016,627,3.1,13.3,1.7,0
3/23/2016,621,2.7,21.7,8.9,0
3/24/2016,635,4.1,12.8,6.7,0
3/25/2016,546,1.7,22.2,6.7,1
3/26/2016,530,2.9,12.8,3.3,0
3/27/2016,459,2.5,12.8,6.1,0
3/28/2016,657,4.5,16.7,5.6,9.7
3/29/2016,683,5.2,11.7,4.4,0
3/30/2016,649,2.4,13.3,2.8,0
3/31/2016,652,3,22.8,9.4,0
4/1/2016,702,3,26.1,16.1,0.5
4/2/2016,597,2.2,16.1,9.4,4.1
4/3/2016,585,5.7,10,1.1,2.3
4/4/2016,683,3.2,7.2,-1.6,11.9
4/5/2016,672,3.7,6.1,-3.2,0
4/6/2016,628,2.7,8.9,-1,0
4/7/2016,630,3.1,14.4,8.9,2.3
4/8/2016,696,3.2,10,4.4,0.3
4/9/2016,557,2.9,6.1,2.2,2.8
4/10/2016,499,2.2,10,-0.5,0
4/11/2016,624,3.1,18.3,6.1,0.3
4/12/2016,638,2.6,15,7.2,5.1
4/13/2016,700,2,14.4,4.4,0
4/14/2016,674,2.9,16.7,6.1,0
4/15/2016,732,1.7,18.3,5.6,0
4/16/2016,678,2.2,20,6.1,0
4/17/2016,568,1.3,23.9,6.7,0
4/18/2016,686,1.7,27.8,10.6,0
4/19/2016,732,3.4,22.8,12.8,0
4/20/2016,697,2.7,20.6,9.4,0
4/21/2016,693,2.5,22.8,9.4,0
4/22/2016,740,1.9,26.1,16.7,0
4/23/2016,648,3.2,21.7,12.2,4.1
4/24/2016,448,2.6,20,8.3,0
4/25/2016,487,1.8,20.6,10,0
4/26/2016,479,3.2,15.6,8.3,6.1
4/27/2016,510,1.9,16.7,7.8,0
4/28/2016,489,2.1,15,8.9,0
4/29/2016,517,2.6,14.4,7.2,1.3
4/30/2016,581,2.6,18.3,7.8,0
5/1/2016,484,2.2,10.6,7.2,4.1
5/2/2016,589,1,15.6,7.2,1
5/3/2016,711,2.7,13.3,10.6,15.5
5/4/2016,653,3.9,11.1,8.9,0.3
5/5/2016,626,3.7,13.9,7.8,0
5/6/2016,728,3.5,12.2,8.9,13.7
5/7/2016,570,2,15.6,8.9,0
5/8/2016,591,2.1,18.9,9.4,4.1
5/9/2016,646,2.3,22.2,11.1,0
5/10/2016,608,2.2,17.2,10,0
5/11/2016,699,1.1,24.4,10,0
5/12/2016,744,1.5,26.7,13.3,0
5/13/2016,766,,18.3,13.9,6.4
5/14/2016,589,,22.8,13.3,0
5/15/2016,510,,15,7.8,0
5/16/2016,741,,18.9,6.1,0
5/17/2016,624,1.7,17.8,11.1,0
5/18/2016,676,,20,11.1,0
5/19/2016,694,0.6,22.8,12.2,0
5/20/2016,782,2,24.4,11.7,0
5/21/2016,568,1.7,18.9,12.2,1
5/22/2016,571,1.6,21.1,11.1,2.3
5/23/2016,652,1.1,25.6,13.3,0.5
